      L1  L2  X3  X4  X5  X6  X8  X1  X2  X7  X9  X10  X11  X12
   1  -1   1  -1  -1  -1   0  -1  -1   0   0   1    0    1    0
   2  -1  -1   0   0   0  -1   1   0  -1  -1   0    1    0    1
   3   1   0   1   0   0   0   0   0   0   0   0    0    0    0
   4   1   0   0   1   0   0   0   0   0   0   0    0    0    0
   5   1   0   0   0   1   0   0   0   0   0   0    0    0    0
   6   0   1   0   0   0   1   0   0   0   0   0    0    0    0
   7   1  -1   0   0   0   0   1   0   0   0   0    0    0    0
   8   1   0   0   0   0   0   0   1   0   0   0    0    0    0
   9   0   1   0   0   0   0   0   0   1   0   0    0    0    0
  10   0   1   0   0   0   0   0   0   0   1   0    0    0    0
  11  -1   0   0   0   0   0   0   0   0   0  -1    0    0    0
  12   0  -1   0   0   0   0   0   0   0   0   0   -1    0    0
  13  -1   0   0   0   0   0   0   0   0   0   0    0   -1    0
  14   0  -1   0   0   0   0   0   0   0   0   0    0    0   -1

